epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
41,55.4156,0.45773,0.23819,0.86164,0.91774,0,0.65531,1,0.995,0.8955,0.65531,1,0.995,0.796,0.50472,0.16068,1.23165,0.85496,0,0.00100687,0.00100687,0.00100687
42,56.6968,0.56633,0.26988,0.89025,0.97633,0,0.94255,1,0.995,0.8955,0.94255,1,0.995,0.74625,0.50188,0.22894,1.10192,0.85108,0,0.000990365,0.000990365,0.000990365
43,57.9333,0.45328,0.20423,0.8239,0.91163,0,0.98212,1,0.995,0.8955,0.98212,1,0.995,0.74625,0.44398,0.21751,0.97262,0.84706,0,0.000973861,0.000973861,0.000973861
44,59.2197,0.47558,0.23496,0.89292,0.94639,0,0.98655,1,0.995,0.94525,0.98655,1,0.995,0.85813,0.31792,0.19526,0.59937,0.79585,0,0.000957358,0.000957358,0.000957358
45,60.4441,0.43228,0.13867,0.86159,0.93139,0,0.9876,1,0.995,0.995,0.9876,1,0.995,0.85813,0.2527,0.1829,0.5761,0.77824,0,0.000940855,0.000940855,0.000940855
46,61.6812,0.43621,0.19955,0.7633,0.91901,0,0.99108,1,0.995,0.8955,0.99108,1,0.995,0.94525,0.30615,0.15704,0.5886,0.8033,0,0.000924352,0.000924352,0.000924352
47,62.9282,0.42898,0.21012,0.7426,0.91323,0,0.98948,1,0.995,0.94525,0.98948,1,0.995,0.90788,0.29637,0.14989,0.64436,0.8003,0,0.000907848,0.000907848,0.000907848
48,64.1805,0.44969,0.23846,0.74917,0.94351,0,0.98644,1,0.995,0.94525,0.98644,1,0.995,0.8955,0.27372,0.15171,0.69442,0.80323,0,0.000891345,0.000891345,0.000891345
49,65.4317,0.42421,0.26101,0.73934,0.90784,0,0.97963,1,0.995,0.94525,0.97963,1,0.995,0.84575,0.26961,0.15772,0.75869,0.79684,0,0.000874842,0.000874842,0.000874842
50,66.7157,0.42987,0.24083,0.74452,0.91844,0,0.94852,1,0.995,0.94525,0.94852,1,0.995,0.8955,0.2556,0.16518,0.75716,0.81602,0,0.000858338,0.000858338,0.000858338
51,67.9814,0.41583,0.2147,0.71749,0.9086,0,0.82606,1,0.995,0.94525,0.82606,1,0.995,0.84575,0.26982,0.17736,0.73603,0.83378,0,0.000841835,0.000841835,0.000841835
52,69.2416,0.40522,0.20595,0.75992,0.91054,0,0.97264,1,0.995,0.94525,0.97264,1,0.995,0.8955,0.35675,0.16763,0.56867,0.81552,0,0.000825332,0.000825332,0.000825332
53,70.5989,0.46383,0.25375,0.77639,0.95731,0,0.97637,1,0.995,0.8955,0.97637,1,0.995,0.82075,0.3521,0.15963,0.4944,0.77709,0,0.000808828,0.000808828,0.000808828
54,71.9601,0.40356,0.1907,0.72181,0.91314,0,0.98198,1,0.995,0.94525,0.98198,1,0.995,0.85813,0.29611,0.14878,0.44581,0.75756,0,0.000792325,0.000792325,0.000792325
55,73.218,0.43235,0.22435,0.73832,0.91132,0,0.98393,1,0.995,0.94525,0.98393,1,0.995,0.84575,0.2627,0.14069,0.44221,0.75648,0,0.000775822,0.000775822,0.000775822
56,74.475,0.37375,0.19076,0.66853,0.87068,0,0.9875,1,0.995,0.995,0.9875,1,0.995,0.8955,0.21701,0.12121,0.42001,0.74206,0,0.000759318,0.000759318,0.000759318
57,75.7231,0.39404,0.18929,0.66457,0.87767,0,0.98928,1,0.995,0.995,0.98928,1,0.995,0.8955,0.22218,0.12518,0.39266,0.74019,0,0.000742815,0.000742815,0.000742815
58,77.0022,0.39605,0.20208,0.63576,0.90216,0,0.99084,1,0.995,0.94525,0.99084,1,0.995,0.80838,0.28069,0.1532,0.40207,0.75002,0,0.000726312,0.000726312,0.000726312
